"code","area","task","requirement","acs_page","primary_references","lesson","card_or_question","exercise","status"
"UA.I.A.K1","I","A","Applicability of Part 107","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","REG-001","EX-ADM-01","complete"
"UA.I.A.K2","I","A","Definitions used in Part 107","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","REG-02","EX-ADM-01","complete"
"UA.I.A.K3","I","A","Falsification reproduction or alteration ramifications","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","SUP-UA-I-A-K3","EX-ADM-01","complete"
"UA.I.A.K4","I","A","Accident reporting","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","REG-03","EX-ADM-01","complete"
"UA.I.A.K5","I","A","Inspection testing and compliance demonstration","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","REG-04","EX-ADM-01","complete"
"UA.I.A.K6","I","A","Multiple-category sUAS","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","SUP-UA-I-A-K6","EX-ADM-01","complete"
"UA.I.A.K7","I","A","Record retention","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","SUP-UA-I-A-K7","EX-ADM-01","complete"
"UA.I.A.K8","I","A","Previously manufactured sUAS","2","Parts 89/107; AC 107-2","docs/02-acs-study-guide.md#i-regulations-1525","SUP-UA-I-A-K8","EX-ADM-01","complete"
"UA.I.B.K1","I","B","sUAS registration requirements","3","Parts 47/48/89/107; AC 107-2","docs/06-registration-processes.md#e-register-each-part-107-aircraft-in-faa-dronezone","REG-05","EX-ADM-01","complete"
"UA.I.B.K2","I","B","Safe operating condition","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-06","EX-ADM-01","complete"
"UA.I.B.K3","I","B","Medical conditions interfering with safety","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","SUP-UA-I-B-K3","EX-ADM-01","complete"
"UA.I.B.K4","I","B","Remote PIC responsibility and authority","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-07","EX-ADM-01","complete"
"UA.I.B.K4a","I","B","Another person manipulating controls","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-07","EX-ADM-01","complete"
"UA.I.B.K5","I","B","Emergency deviation and reporting","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-08","EX-ADM-01","complete"
"UA.I.B.K6","I","B","Hazardous operations","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-09","EX-ADM-01","complete"
"UA.I.B.K6a","I","B","Careless or reckless operation","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","SUP-UA-I-B-K6a","EX-ADM-01","complete"
"UA.I.B.K6b","I","B","Dropping an object","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-09","EX-ADM-01","complete"
"UA.I.B.K7","I","B","Moving aircraft or vehicle operations","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-10","EX-ADM-01","complete"
"UA.I.B.K8","I","B","Alcohol and drug prohibitions","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-11","EX-ADM-01","complete"
"UA.I.B.K9","I","B","Daylight operations","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-12","EX-ADM-01","complete"
