Area,Task,ACS prefix,Topic,Weight range,Self-rating 0-3,Last reviewed,Notes
I,A,UA.I.A,General regulations,15-25%,0,,
I,B,UA.I.B,Operating rules,15-25%,0,,
I,C,UA.I.C,Remote pilot certification,15-25%,0,,
I,D,UA.I.D,Waivers,15-25%,0,,
I,E,UA.I.E,Operations over people,15-25%,0,,
I,F,UA.I.F,Remote Identification,15-25%,0,,
II,A,UA.II.A,Airspace classification,15-25%,0,,
II,B,UA.II.B,Airspace operational requirements,15-25%,0,,
III,A,UA.III.A,Sources of weather,11-16%,0,,
III,B,UA.III.B,Effects of weather on performance,11-16%,0,,
IV,A,UA.IV.A,Loading and performance,7-11%,0,,
V,A,UA.V.A,Radio communications,35-45%,0,,
V,B,UA.V.B,Airport operations,35-45%,0,,
V,C,UA.V.C,Emergency procedures,35-45%,0,,
V,D,UA.V.D,Aeronautical decision-making,35-45%,0,,
V,E,UA.V.E,Physiology,35-45%,0,,
V,F,UA.V.F,Maintenance and inspection,35-45%,0,,
